ANO,MES,ESTADO,REGIAO,CONSUMO_T
2003,JAN,RONDÔNIA,NORTE,13867
2003,JAN,ACRE,NORTE,3260
2003,JAN,AMAZONAS,NORTE,28193
2003,JAN,RORAIMA,NORTE,6920
2003,JAN,PARÁ,NORTE,84701
2003,JAN,AMAPÁ,NORTE,10392
2003,JAN,TOCANTINS,NORTE,17555
2003,JAN,MARANHÃO,NORDESTE,43342
2003,JAN,PIAUÍ,NORDESTE,21844
2003,JAN,CEARÁ,NORDESTE,81265
2003,JAN,RIO GRANDE DO NORTE,NORDESTE,36825
2003,JAN,PARAÍBA,NORDESTE,38426
2003,JAN,PERNAMBUCO,NORDESTE,99743
2003,JAN,ALAGOAS,NORDESTE,30109
2003,JAN,SERGIPE,NORDESTE,23616
2003,JAN,BAHIA,NORDESTE,151297
2003,JAN,MINAS GERAIS,SUDESTE,247134
2003,JAN,ESPÍRITO SANTO,SUDESTE,48426
2003,JAN,RIO DE JANEIRO,SUDESTE,254362
2003,JAN,SÃO PAULO,SUDESTE,782111
2003,JAN,PARANÁ,SUL,189804
2003,JAN,SANTA CATARINA,SUL,142456
2003,JAN,RIO GRANDE DO SUL,SUL,188093
2003,JAN,MATO GROSSO,CENTRO-OESTE,47470
2003,JAN,MATO GROSSO DO SUL,CENTRO-OESTE,33744
2003,JAN,GOIÁS,CENTRO-OESTE,97447
2003,JAN,DISTRITO FEDERAL,CENTRO-OESTE,50047
2003,FEV,RONDÔNIA,NORTE,10777
2003,FEV,ACRE,NORTE,2191
2003,FEV,AMAZONAS,NORTE,31226
2003,FEV,RORAIMA,NORTE,7476
2003,FEV,PARÁ,NORTE,80221
2003,FEV,AMAPÁ,NORTE,6857
2003,FEV,TOCANTINS,NORTE,14976
2003,FEV,MARANHÃO,NORDESTE,28663
2003,FEV,PIAUÍ,NORDESTE,15814
2003,FEV,CEARÁ,NORDESTE,65200
2003,FEV,RIO GRANDE DO NORTE,NORDESTE,34088
2003,FEV,PARAÍBA,NORDESTE,31672
2003,FEV,PERNAMBUCO,NORDESTE,86997
2003,FEV,ALAGOAS,NORDESTE,27684
2003,FEV,SERGIPE,NORDESTE,21357
2003,FEV,BAHIA,NORDESTE,138707
2003,FEV,MINAS GERAIS,SUDESTE,305708
2003,FEV,ESPÍRITO SANTO,SUDESTE,54969
2003,FEV,RIO DE JANEIRO,SUDESTE,252842
2003,FEV,SÃO PAULO,SUDESTE,789891
2003,FEV,PARANÁ,SUL,174713
2003,FEV,SANTA CATARINA,SUL,135829
2003,FEV,RIO GRANDE DO SUL,SUL,170973
2003,FEV,MATO GROSSO,CENTRO-OESTE,45387
2003,FEV,MATO GROSSO DO SUL,CENTRO-OESTE,32230
2003,FEV,GOIÁS,CENTRO-OESTE,97256
2003,FEV,DISTRITO FEDERAL,CENTRO-OESTE,48110
2003,MAR,RONDÔNIA,NORTE,13888
2003,MAR,ACRE,NORTE,2154
2003,MAR,AMAZONAS,NORTE,33484
2003,MAR,RORAIMA,NORTE,8659
2003,MAR,PARÁ,NORTE,76122
2003,MAR,AMAPÁ,NORTE,7011
2003,MAR,TOCANTINS,NORTE,13334
2003,MAR,MARANHÃO,NORDESTE,27900
2003,MAR,PIAUÍ,NORDESTE,16067
2003,MAR,CEARÁ,NORDESTE,55165
2003,MAR,RIO GRANDE DO NORTE,NORDESTE,30150
2003,MAR,PARAÍBA,NORDESTE,28775
2003,MAR,PERNAMBUCO,NORDESTE,83033
2003,MAR,ALAGOAS,NORDESTE,26534
2003,MAR,SERGIPE,NORDESTE,20059
2003,MAR,BAHIA,NORDESTE,135009
2003,MAR,MINAS GERAIS,SUDESTE,284168
2003,MAR,ESPÍRITO SANTO,SUDESTE,53847
2003,MAR,RIO DE JANEIRO,SUDESTE,229385
2003,MAR,SÃO PAULO,SUDESTE,774309
